Date;T - KAN_M;RH - KAN_M;WS - KAN_M;WD - KAN_M;;;
01/06/2016 01:00;-8.11;90.1;8.68;157.4;;;
01/06/2016 02:00;-8.27;91.1;8.88;161.3;;;
01/06/2016 03:00;-7.98;96.5;7.72;167.3;;;
01/06/2016 04:00;-7.2;98;6.56;181.7;;;
01/06/2016 05:00;-7.24;98;5.34;180.9;;;
01/06/2016 06:00;-6.95;98.4;5.96;181.9;;;
01/06/2016 07:00;-7.24;96.1;6.33;174.9;;;
01/06/2016 08:00;-7.7;90.5;5.69;151.8;;;
01/06/2016 09:00;-8.48;83.6;5.37;124.9;;;
01/06/2016 10:00;-10.04;79.8;6.12;114.6;;;
01/06/2016 11:00;-9.76;77.1;7.73;100.5;;;
01/06/2016 12:00;-8.6;74.8;6.85;98.2;;;
01/06/2016 13:00;-6.98;72.8;8.47;103.7;;;
01/06/2016 14:00;-5.72;72;9.38;94.8;;;
01/06/2016 15:00;-4.12;72.1;10.02;94.6;;;
01/06/2016 16:00;-2.69;72.8;9.49;111.2;;;
01/06/2016 17:00;-2.02;76.4;8.5;152.6;;;
01/06/2016 18:00;-1.9;81;8.28;164.6;;;
01/06/2016 19:00;-1.93;80.6;7.47;165.4;;;
01/06/2016 20:00;-1.93;83.2;6.53;172.1;;;
01/06/2016 21:00;-2.09;82.4;6.38;166.7;;;
01/06/2016 22:00;-2.91;84.7;5.39;158.1;;;
01/06/2016 23:00;-3.83;85.8;4.32;136.8;;;
02/06/2016 00:00;-5.32;88.2;4.35;119.7;;;
02/06/2016 01:00;-5.47;89.3;3.95;127.6;;;
02/06/2016 02:00;-5.39;88.3;2.91;101.2;;;
02/06/2016 03:00;-5.44;84.9;2.79;91.8;;;
02/06/2016 04:00;-5.75;85.6;4.86;137.3;;;
02/06/2016 05:00;-6.08;82.4;5.44;131.4;;;
02/06/2016 06:00;-5;78.5;7.29;118.5;;;
02/06/2016 07:00;-5.24;77.4;7.1;120.1;;;
02/06/2016 08:00;-5.34;81.1;5.83;129.6;;;
02/06/2016 09:00;-3.47;81.5;7.79;126.5;;;
02/06/2016 10:00;-2.5;83.6;6.48;131.8;;;
02/06/2016 11:00;-1.63;75;7.31;125.3;;;
02/06/2016 12:00;-0.64;77.3;7.99;148;;;
02/06/2016 13:00;0.01;79.2;7.29;158.3;;;
02/06/2016 14:00;0.27;77.5;5.5;165.7;;;
02/06/2016 15:00;0.16;77.8;4.3;159.9;;;
02/06/2016 16:00;0.5;77.9;3.76;159.1;;;
02/06/2016 17:00;0.64;80.4;3.46;155;;;
02/06/2016 18:00;0.98;82.5;2.29;142;;;
02/06/2016 19:00;2.57;74.2;0.26;155.2;;;
02/06/2016 20:00;1.02;81.9;1.24;114.8;;;
02/06/2016 21:00;0.9;84;2.1;111.9;;;
02/06/2016 22:00;0.75;84.6;2.46;127.2;;;
02/06/2016 23:00;0.33;85.7;2.39;116.9;;;
03/06/2016 00:00;1.11;80;2.56;135.6;;;
03/06/2016 01:00;0.39;83.2;3.55;157.8;;;
03/06/2016 02:00;-1.51;90.9;3.15;120.7;;;
03/06/2016 03:00;-0.87;88.1;3.88;122.8;;;
03/06/2016 04:00;-0.43;87.6;3.35;136.7;;;
03/06/2016 05:00;0.16;88.5;3.72;129;;;
03/06/2016 06:00;1.48;88;6.32;138.9;;;
03/06/2016 07:00;1.29;88.3;5.5;132.2;;;
03/06/2016 08:00;1.7;88.1;6.36;130.9;;;
03/06/2016 09:00;1.64;89;5.26;128.6;;;
03/06/2016 10:00;2.05;83.9;7.18;147.2;;;
03/06/2016 11:00;2.15;82.4;8.23;150.6;;;
03/06/2016 12:00;1.93;83;7.77;152;;;
03/06/2016 13:00;1.68;84.5;7.31;161.4;;;
03/06/2016 14:00;1.82;83.8;8.08;157.9;;;
03/06/2016 15:00;1.52;85.7;7.46;162;;;
03/06/2016 16:00;0.87;90;7.61;168.3;;;
03/06/2016 17:00;0.4;90.6;7.1;171.8;;;
03/06/2016 18:00;0.3;90.4;6.57;176.5;;;
03/06/2016 19:00;0.12;90.1;6.77;180.7;;;
03/06/2016 20:00;-0.36;91.1;6.42;198.8;;;
03/06/2016 21:00;-0.95;92.1;3.33;225.1;;;
03/06/2016 22:00;-1.06;93.9;2.51;221.2;;;
03/06/2016 23:00;-0.88;96.3;2.43;193.8;;;
04/06/2016 00:00;-0.9;97.1;1.58;216.6;;;
04/06/2016 01:00;-1.02;98.1;0.92;227.4;;;
04/06/2016 02:00;-1.13;98.7;0.8;242.7;;;
04/06/2016 03:00;-1.3;99.3;0.02;250.5;;;
04/06/2016 04:00;-1.34;99.7;0.28;210.8;;;
04/06/2016 05:00;-1.68;99.8;1.08;210.8;;;
04/06/2016 06:00;-1.69;98.8;1.26;210.5;;;
04/06/2016 07:00;-1.91;91.1;0.33;209.5;;;
04/06/2016 08:00;-1.95;84.5;0.36;209.1;;;
04/06/2016 09:00;-1.82;84.7;0.55;209.2;;;
04/06/2016 10:00;-1.57;84.1;1.06;213.8;;;
04/06/2016 11:00;-1.39;82.2;2.08;220.7;;;
04/06/2016 12:00;-1.2;79.3;2.06;208.8;;;
04/06/2016 13:00;-1.16;80.2;1.94;226.7;;;
04/06/2016 14:00;-0.54;76.5;1.26;228.2;;;
04/06/2016 15:00;-0.49;74.9;1.33;186.9;;;
04/06/2016 16:00;-1.09;77.2;2.96;190.9;;;
04/06/2016 17:00;-1.5;79.1;2.51;207;;;
04/06/2016 18:00;-1.21;76.5;1.13;237.4;;;
04/06/2016 19:00;-1.37;78;1.65;157.4;;;
04/06/2016 20:00;-1.66;80.9;2.12;170;;;
04/06/2016 21:00;-1.44;80.6;0.55;199.2;;;
04/06/2016 22:00;-0.48;76.3;0.11;100.5;;;
04/06/2016 23:00;-1.67;87.7;0.89;124.1;;;
05/06/2016 00:00;-3.04;93.8;1.11;148.7;;;
05/06/2016 01:00;-3.76;95.2;1.91;143.5;;;
05/06/2016 02:00;-5.16;97.2;1.59;139.7;;;
05/06/2016 03:00;-5.84;99.3;2.37;138.9;;;
05/06/2016 04:00;-3.32;99.8;2.28;138.7;;;
05/06/2016 05:00;-4.65;99.4;2.77;125;;;
05/06/2016 06:00;-4.85;100;2.39;119.8;;;
05/06/2016 07:00;-4;99.5;3.14;137.7;;;
05/06/2016 08:00;-4.61;98.5;3.31;123.4;;;
05/06/2016 09:00;-5.32;95.2;3.3;126.2;;;
05/06/2016 10:00;-5.07;92.1;2.59;130;;;
05/06/2016 11:00;-3.93;89.9;1.77;143.8;;;
05/06/2016 12:00;-2.48;88.1;1.97;142.6;;;
05/06/2016 13:00;-1.12;83.9;1.83;128.7;;;
05/06/2016 14:00;-0.4;83.6;2.16;124.3;;;
05/06/2016 15:00;0.04;83.8;1.97;120.5;;;
05/06/2016 16:00;0.38;87.2;1.74;136.8;;;
05/06/2016 17:00;0.56;86.9;2.26;136.2;;;
05/06/2016 18:00;0.84;83;2.25;152.3;;;
05/06/2016 19:00;0.79;84;2.78;147.4;;;
05/06/2016 20:00;0.66;82.6;2.9;152.2;;;
05/06/2016 21:00;0.23;86.6;2.67;149.2;;;
05/06/2016 22:00;-0.21;90;2.61;131.9;;;
05/06/2016 23:00;-0.77;92.4;2.67;132.6;;;
06/06/2016 00:00;-1.54;93.6;2.5;130.9;;;
06/06/2016 01:00;-2.15;95.3;2.67;127;;;
06/06/2016 02:00;-2.06;95.2;2.89;124.4;;;
06/06/2016 03:00;-1.02;93.9;2.81;146.3;;;
06/06/2016 04:00;0.09;93.9;4.15;163.7;;;
06/06/2016 05:00;-0.53;95.3;4.62;169.5;;;
06/06/2016 06:00;-1.54;96.6;4.35;160;;;
06/06/2016 07:00;-1.59;94.6;3.77;146;;;
06/06/2016 08:00;-1.6;92.7;3.65;139.6;;;
06/06/2016 09:00;-0.72;90.1;4.16;153.9;;;
06/06/2016 10:00;0.15;89.5;5;155.1;;;
06/06/2016 11:00;0.42;89.9;5.17;149;;;
06/06/2016 12:00;0.85;85.7;5.21;155.3;;;
