,T - S6,RH - S6,WS - S6,WD - S6
,mean,mean,mean,mean
Date,,,,
2017-05-30 01:00:00,-1.295,99.125,2.385,230.91500000000002
2017-05-30 02:00:00,-1.81,98.235,2.015,216.97500000000002
2017-05-30 03:00:00,-2.035,99.595,2.48,255.68
2017-05-30 04:00:00,-2.6550000000000002,99.815,1.7800000000000002,270.765
2017-05-30 05:00:00,-2.87,99.515,0.7,237.39499999999998
2017-05-30 06:00:00,-2.9,99.055,1.06,255.5
2017-05-30 07:00:00,-3.275,98.745,2.035,251.485
2017-05-30 08:00:00,-3.645,98.53999999999999,2.885,265.27
2017-05-30 09:00:00,-3.355,97.83500000000001,1.5550000000000002,264.945
2017-05-30 10:00:00,-2.4850000000000003,96.935,0.94,243.075
2017-05-30 11:00:00,-0.54,92.87,0.545,196.135
2017-05-30 12:00:00,-0.25999999999999995,85.825,0.51,100.8
2017-05-30 13:00:00,3.065,70.775,0.295,145.47
2017-05-30 14:00:00,0.365,80.26,1.365,182.245
2017-05-30 15:00:00,1.95,72.17500000000001,0.8200000000000001,179.935
2017-05-30 16:00:00,2.485,67.645,0.32499999999999996,43.279999999999994
2017-05-30 17:00:00,3.025,66.15,0.13999999999999999,113.455
2017-05-30 18:00:00,3.48,63.735,0.055,132.695
2017-05-30 19:00:00,1.8599999999999999,71.55000000000001,0.28,88.445
2017-05-30 20:00:00,0.7749999999999999,77.405,0.755,41.2
2017-05-30 21:00:00,-0.51,83.625,1.105,57.195
2017-05-30 22:00:00,1.15,72.77000000000001,0.29000000000000004,68.905
2017-05-30 23:00:00,1.63,68.475,0.055,84.765
2017-05-31 00:00:00,-2.945,82.61500000000001,1.15,116.09
2017-05-31 01:00:00,-4.2,83.465,2.085,126.95500000000001
2017-05-31 02:00:00,-6.765,85.255,2.9699999999999998,147.06
2017-05-31 03:00:00,-7.585,85.255,3.6399999999999997,156.115
2017-05-31 04:00:00,-7.34,81.22,5.055,151.75
2017-05-31 05:00:00,-7.02,80.19,5.1850000000000005,170.17000000000002
2017-05-31 06:00:00,-7.53,81.85499999999999,5.35,166.02499999999998
2017-05-31 07:00:00,-7.215,82.75,6.035,171.2
2017-05-31 08:00:00,-5.59,78.72999999999999,6.779999999999999,183.91000000000003
2017-05-31 09:00:00,-4.795,76.055,6.27,177.76999999999998
2017-05-31 10:00:00,-3.48,73.505,6.625,188.82999999999998
2017-05-31 11:00:00,-2.705,74.965,5.640000000000001,179.1
2017-05-31 12:00:00,-1.2650000000000001,74.765,4.755000000000001,175.04
2017-05-31 13:00:00,-0.49,75.475,5.32,174.39
2017-05-31 14:00:00,0.095,75.345,5.26,176.475
2017-05-31 15:00:00,0.71,75.775,4.4399999999999995,169.23
2017-05-31 16:00:00,1.195,78.125,4.08,168.69
2017-05-31 17:00:00,1.115,81.5,3.275,158.89
2017-05-31 18:00:00,1.135,81.97999999999999,3.33,158.07
2017-05-31 19:00:00,1.63,79.995,2.915,172.1
2017-05-31 20:00:00,1.4100000000000001,80.955,2.705,173.03
2017-05-31 21:00:00,0.97,80.275,2.885,175.805
2017-05-31 22:00:00,-0.38,84.805,3.3,167.635
2017-05-31 23:00:00,-1.56,86.13,3.775,170.07
2017-06-01 00:00:00,-2.6950000000000003,87.045,4.22,167.89999999999998
2017-06-01 01:00:00,-3.3200000000000003,86.55,5.135,162.965
2017-06-01 02:00:00,-4.074999999999999,85.91499999999999,5.42,165.115
2017-06-01 03:00:00,-4.505,84.57,5.51,165.555
2017-06-01 04:00:00,-5.04,82.975,5.904999999999999,163.09
2017-06-01 05:00:00,-5.199999999999999,79.97,6.9350000000000005,163.375
2017-06-01 06:00:00,-5.255000000000001,79.005,6.38,166.595
2017-06-01 07:00:00,-5.32,78.875,6.415,167.41500000000002
2017-06-01 08:00:00,-5.165,79.87,6.035,167.01
2017-06-01 09:00:00,-4.16,79.525,5.57,166.725
2017-06-01 10:00:00,-3.295,77.3,6.445,170.45
2017-06-01 11:00:00,-2.135,74.465,6.4399999999999995,182.47
2017-06-01 12:00:00,-1.16,74.15,6.2,185.61
2017-06-01 13:00:00,-0.355,74.14,5.51,188.47500000000002
2017-06-01 14:00:00,0.355,75.08000000000001,4.49,187.965
2017-06-01 15:00:00,0.6799999999999999,75.975,4.07,180.43
2017-06-01 16:00:00,1.4,75.46000000000001,3.24,185.245
2017-06-01 17:00:00,1.7799999999999998,75.015,2.135,179.055
2017-06-01 18:00:00,1.4700000000000002,79.415,1.685,142.915
2017-06-01 19:00:00,1.11,81.28,1.77,136.09
2017-06-01 20:00:00,0.9049999999999999,80.685,1.835,120.555
2017-06-01 21:00:00,-0.19,84.895,2.4050000000000002,109.575
2017-06-01 22:00:00,-1.03,85.84,2.83,120.405
2017-06-01 23:00:00,-2.13,88.38499999999999,2.735,130.715
2017-06-02 00:00:00,-3.37,88.53999999999999,2.8600000000000003,132.05
2017-06-02 01:00:00,-4.14,86.875,3.11,142.26
2017-06-02 02:00:00,-4.26,83.72999999999999,3.8899999999999997,146.89
2017-06-02 03:00:00,-5.145,83.785,4.17,154.82999999999998
